site_name,latdecimal,longdecimal,MTHORN
LESF,-18.64635747,145.8718728,0
MTSF,-17.07317247,145.8666226,0
BF4A,-17.39949192,145.7657635,0
LESD,-18.63473292,145.8489341,0
AUSE,-17.73890834,145.5409338,1422.843099
SJC,-17.62081363,145.6706461,355.7107749
FU5A,-15.86718368,145.2000157,0
AUBC,-17.38038636,145.7613267,0
MTSB,-17.09494649,145.8815277,0
LESC,-18.4617652,145.7359097,0
LESA,-18.50902924,145.7486817,0
AUBB,-17.38087527,145.7397981,0
SJD,-17.63874753,145.6342848,0
AUAC,-17.74849494,145.5238814,119.399421
SUAC,-19.0113899,146.1737139,18.04874971
SU8A,-19.01064104,146.2197597,0
SUAB,-19.00618828,146.2075909,0
KIRB,-18.16438562,145.7284244,0
MTSE,-17.08039212,145.8646996,0
MTSC,-17.10224376,145.8937019,0
LESH,-18.4704796,145.7431945,0
KIRC,-18.21398243,145.7861617,0
TLJI1A,-16.2392,145.4340167,0
FU6A,-15.88819442,145.2164217,804.8405409
AUAA,-17.73650123,145.5662158,64.67468646
AUBA,-17.37460144,145.7196059,224.6594366
SJE,-17.66803796,145.6476664,31.04384944
SULL,-19.01457072,146.1696411,0
WU11B,-16.16943791,144.9917894,1164.144354
KUBB,-18.21215193,145.7968312,0
WU10A,-16.28017366,145.0740099,873.1082654
SUAA,-19.01159813,146.2047149,0
LESG,-18.51981375,145.764413,0
LESJ,-18.60195606,145.8123637,388.048118
LESE,-18.67194782,145.8791939,0
MTSG,-17.07047688,145.8694579,0
AU6A,-17.6695708,145.7173752,11.08708925
AULL,-17.59660469,145.7583352,0
SU10B,-19.00502492,146.2102661,12.12650369
SUBE,-18.94930836,146.1443497,210.1927307
SUBD,-18.97353037,146.1628154,48.50601475
CU6A,-16.57767628,145.3036762,11.75903376
KIRA,-18.15129536,145.6926096,0
AU4A,-17.61070761,145.7648639,0
AU8A,-17.59933189,145.6360608,1023.591492
AU10A,-17.69954396,145.5238012,513.9015615
KUBA,-18.22828306,145.8113783,0
AUCA,-17.29679684,145.4225491,1487.517785
MBL50B,-17.90888333,146.0680167,0
MBL50A,-17.86915,146.0687833,0
WU11A,-16.26002069,145.0421497,1472.119051
TLMS2A,-16.0787,145.4617667,0
CU10B,-16.59153193,145.2743264,1003.381562
CU1A,-16.46883266,145.3264474,0
KUAB,-18.2060096,145.7645544,70.55420334
CU10A,-16.55662546,145.2766799,760.1490532
CU4A,-16.53311127,145.3745076,0
AUPP,-17.60035191,145.7578196,303.6898316
CULL,-16.45031402,145.201782,1025.55574
SUBB,-18.93893907,146.1673186,77.60962359
AUAD,-17.77008029,145.5379931,64.67468646
CUAA,-16.57082579,145.2684486,1099.469667
AU2A,-17.66214659,145.8747877,0
INGL50A,-18.41945,145.9456667,0
SUBA,-18.93975617,146.1482446,172.46583
KUBC,-18.23715242,145.7990142,194.024059
LESB,-18.5330211,145.7721241,0
FUPP,-15.70890178,145.2587228,0
MTSA,-17.0885993,145.8778065,0
SU10A,-19.01568727,146.1567708,149.2492763
TLPP,-16.04186432,145.4563888,0
CU8A,-16.58702396,145.2964068,437.9949053
AUSR,-17.71744428,145.5272943,258.6987454
INGL50D,-18.39811667,145.7458833,0
TU2A,-16.18669904,145.3585661,0
TU6A,-16.17690015,145.3629114,0
CCLL,-17.33235861,145.8597741,0
KUAA,-18.19381914,145.7450689,151.8449158
SUBC,-18.94260677,146.1853355,150.9076015
WU9A,-16.28461846,145.0818718,682.9646876
LESI,-18.60367915,145.7990835,0
KUAC,-18.16639336,145.7286651,0
SU6A,-19.00188605,146.2397423,0
WU12A,-16.24627527,145.0263383,2198.939335
CU12A,-16.51080469,145.2694337,1099.469667
FU8A,-15.87995454,145.2254112,1164.144354
AU10B,-17.69939401,145.523086,1552.192472
BMPP,-16.78972946,145.6469116,0
MLPP,-16.47346174,145.3301258,0
FU2C,-15.75038333,145.2939667,0
WUPP,-16.25382004,145.0380113,1681.541844
FU2B,-15.74888333,145.2866333,0
CCPP,-17.8126534,145.6940816,0
BLPP,-15.79085791,145.2306503,0
WU13A,-16.23629558,145.0104071,1649.204501
HIAF,-18.41138054,146.2823197,0
SU350A,-19.0139787,146.2668612,0
TLEM50A,-16.04058333,145.46075,0
FU2A,-15.79046547,145.2335097,0
TLNB50A,-16.13265,145.4519167,0
INGL50B,-18.36965,145.7388333,0
AU1A,-17.71670041,145.86284,0
WUWSA,-16.20784966,144.9738951,58.20721769
TU8A,-16.17141994,145.36478,388.048118
TU10A,-16.16986301,145.3656251,905.4456085
BF10A,-17.38203799,145.7874721,679.0842064
TU13A,-16.16581406,145.3726623,646.7468634
BF14A,-17.38737276,145.8013769,517.3974905
TU12A,-16.16210819,145.3655018,732.9797784
BK13A,-17.26057057,145.845392,388.048118
CUPP,-16.5121597,145.2682882,1269.975659
BF12A,-17.38322038,145.793187,1293.493726
BK14B,-17.26337409,145.8520155,905.4456085
BK12A,-17.26339839,145.8626445,840.7709224
BK16A,-17.26559893,145.8522839,582.0721769
BK14A,-17.26628874,145.8575567,388.048118
BK10A,-17.26814237,145.8688896,291.0360885
EKL50A,-18.23646667,146.0004333,0
TLJI1B,-16.23801667,145.4273,0
HICF,-18.36059899,146.2452472,0
